도로명전체주소,사업장명,의료인수,입원실수,병상수,총면적,진료과목내용명,종별코드,종별코드명,시도코드,시도명,시군구코드,시군구명,X좌표,Y좌표,의사총수,일반의 의사수,인턴 의사수,레지던트 의사수,전문의합계,내과,신경과,정신건강의학과,외과,정형외과,신경외과,흉부외과,성형외과,마취통증의학과,산부인과,소아청소년과,안과,이비인후과,피부과,비뇨의학과,영상의학과,방사선종양학과,병리과,진단검사의학과,결핵과,재활의학과,핵의학과,가정의학과,응급의학과,직업환경의학과,예방의학과,치과,구강악안면외과,치과보철과,치과교정과,소아치과,치주과,치과보존과,구강내과,영상치의학과,구강병리과,예방치과,통합치의학과,한방내과,한방부인과,한방소아과,한방안·이비인후·피부과,한방신경정신과,침구과,한방재활의학과,사상체질과,한방응급,의료장비합계,유방촬영장치,CT,콘빔CT,양전자단층촬영기 (PET),골밀도검사기,MRI,초음파영상진단기,종양치료기 (Gamma Knife),종양치료기 (Cyber Knife),종양치료기 (양성자치료기),체외충격파쇄석기,혈액투석을위한인공신장기,구글점수,구글건수,다음점수,다음건수,네이버평점,네이버건수,진료만족도,의료진친절도,시설만족도,평가인원,총건수,최종점수,최종보정점수
서울특별시 양천구 안양천로 1071 (목동),이화여자대학교의과대학부속목동병원,1285.0,215.0,700.0,71532.39,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 직업환경의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과",11.0,종합병원,110000.0,서울,110020.0,양천구,126.8862379,37.5362859,392.0,1.0,38.0,154.0,200.0,39.0,8.0,3.0,21.0,8.0,5.0,6.0,4.0,13.0,8.0,10.0,5.0,6.0,2.0,4.0,16.0,4.0,4.0,4.0,0.0,3.0,2.0,3.0,9.0,2.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,2.0,5.0,1.0,1.0,1.0,3.0,64.0,0.0,0.0,0.0,1.0,39.0,3.4,70.0,1.8,93.0,4.4149715910000005,352.0,9.1,10.0,10.0,9.0,206,2.6107057496397204,2.6107057496397204
서울특별시 종로구 통일로 256 (무악동),세란병원,166.0,68.0,213.0,8249.92,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 소아청소년과, 비뇨의학과, 영상의학과, 진단검사의학과, 가정의학과, 응급의학과, 치과",11.0,종합병원,110000.0,서울,110016.0,종로구,126.95746070000001,37.5751835,41.0,1.0,0.0,0.0,40.0,3.0,5.0,0.0,5.0,7.0,4.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,2.0,0.0,0.0,3.0,3.0,22.0,0.0,0.0,0.0,1.0,0.0,3.1,48.0,2.8,67.0,4.22,205.0,10.0,9.2,8.6,12.0,140,2.7701339285714304,2.7701339285714304
서울특별시 종로구 대학로 101 (연건동),서울대학교병원,3708.0,554.0,1763.0,201991.0,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 치과",1.0,상급종합병원,110000.0,서울,110016.0,종로구,126.9990168,37.5797151,1612.0,16.0,185.0,578.0,831.0,174.0,35.0,39.0,67.0,35.0,34.0,23.0,11.0,46.0,32.0,59.0,29.0,17.0,12.0,16.0,81.0,8.0,23.0,15.0,0.0,13.0,6.0,26.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,4.0,12.0,0.0,3.0,3.0,10.0,172.0,1.0,0.0,0.0,1.0,86.0,3.85,4.0,2.7119999999999997,100.0,4.2961016039999995,1870.0,9.5,9.7,10.0,40.0,333,3.1032102491084803,3.1032102491084803
"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",경찰병원,382.0,101.0,440.0,29886.14,"치과보철과, 구강악안면외과, 응급의학과, 가정의학과, 재활의학과, 진단검사의학과, 병리과, 영상의학과, 비뇨의학과, 피부과, 이비인후과, 안과, 소아청소년과, 산부인과, 마취통증의학과, 성형외과, 흉부외과, 신경외과, 정형외과, 외과, 정신건강의학과, 신경과, 내과",11.0,종합병원,110000.0,서울,110018.0,송파구,127.12350900000001,37.4963836,120.0,1.0,13.0,38.0,66.0,16.0,2.0,2.0,4.0,7.0,3.0,1.0,1.0,5.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,1.0,2.0,1.0,1.0,2.0,3.0,29.0,0.0,0.0,0.0,1.0,45.0,3.5,216.0,2.2,23.0,4.12,220.0,10.0,10.0,10.0,7.0,266,2.9895089285714302,2.9895089285714302
"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",재단법인아산사회복지재단 서울아산병원,6025.0,986.0,2705.0,507222.04,"치과보존과, 치주과, 소아치과, 치과교정과, 치과보철과, 구강악안면외과, 응급의학과, 핵의학과, 가정의학과, 재활의학과, 진단검사의학과, 병리과, 방사선종양학과, 영상의학과, 비뇨의학과, 피부과, 이비인후과, 안과, 소아청소년과, 산부인과, 마취통증의학과, 성형외과, 흉부외과, 신경외과, 정형외과, 외과, 정신건강의학과, 신경과, 내과",1.0,상급종합병원,110000.0,서울,110018.0,송파구,127.10793500000001,37.52657620000001,1658.0,23.0,131.0,448.0,1056.0,299.0,35.0,15.0,116.0,34.0,22.0,32.0,15.0,70.0,30.0,51.0,26.0,20.0,9.0,17.0,126.0,15.0,33.0,15.0,0.0,11.0,12.0,16.0,19.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,6.0,21.0,1.0,4.0,6.0,15.0,179.0,1.0,1.0,0.0,1.0,104.0,3.9,336.0,2.8,142.0,4.297980813,2189.0,9.9,9.7,9.8,65.0,746,3.34163694853804,3.34163694853804
"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),1665.0,262.0,1048.0,67631.13,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 치주과, 치과보존과",1.0,상급종합병원,110000.0,서울,110012.0,성북구,127.0263537,37.5870165,516.0,5.0,38.0,161.0,314.0,89.0,14.0,6.0,25.0,15.0,10.0,10.0,6.0,18.0,11.0,9.0,8.0,9.0,4.0,9.0,22.0,3.0,5.0,6.0,0.0,6.0,3.0,9.0,9.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,2.0,5.0,1.0,1.0,3.0,3.0,90.0,0.0,0.0,0.0,1.0,60.0,3.8,99.0,,,4.316332288,319.0,8.8,9.3,9.0,13.0,138,3.4562092173912995,3.4562092173912995
"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",구로성심병원,139.0,44.0,202.0,10567.63,"내과, 신경과, 외과, 정형외과, 신경외과, 흉부외과, 성형외과, 마취통증의학과, 산부인과, 이비인후과, 비뇨의학과, 영상의학과, 병리과, 직업환경의학과, 응급의학과",11.0,종합병원,110000.0,서울,110005.0,구로구,126.86641589999999,37.499671500000005,31.0,0.0,0.0,0.0,30.0,7.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,2.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,22.0,3.3,28.0,1.8,18.0,4.21,599.0,6.3,7.2,7.2,7.0,119,2.7459427521008397,2.7459427521008397
"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",고려대학교의과대학부속구로병원,1514.0,246.0,1075.0,72338.57,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 치과보존과, 예방치과",1.0,상급종합병원,110000.0,서울,110005.0,구로구,126.88487009999999,37.492052,524.0,1.0,28.0,166.0,329.0,89.0,10.0,7.0,26.0,21.0,9.0,5.0,6.0,20.0,13.0,13.0,10.0,8.0,3.0,5.0,27.0,3.0,10.0,6.0,0.0,6.0,3.0,7.0,12.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,3.0,6.0,1.0,1.0,2.0,3.0,75.0,1.0,0.0,0.0,1.0,48.0,3.3,119.0,,,4.179668874,755.0,10.0,10.0,10.0,15.0,211,2.84718484167654,2.84718484167654
서울특별시 동작구 보라매로5길 20 (신대방동),서울특별시보라매병원,1064.0,209.0,761.0,74311.41,"방사선종양학과, 핵의학과, 가정의학과, 재활의학과, 응급의학과, 정신건강의학과, 비뇨의학과, 성형외과, 흉부외과, 병리과, 신경과, 마취통증의학과, 정형외과, 신경외과, 영상의학과, 진단검사의학과, 치과, 피부과, 안과, 이비인후과, 산부인과, 소아청소년과, 외과, 내과",11.0,종합병원,110000.0,서울,110008.0,동작구,126.9239058,37.4934414,247.0,2.0,1.0,11.0,225.0,63.0,9.0,7.0,15.0,18.0,6.0,5.0,3.0,10.0,8.0,7.0,6.0,8.0,3.0,5.0,20.0,3.0,6.0,5.0,0.0,3.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,3.0,5.0,1.0,1.0,2.0,3.0,71.0,0.0,0.0,0.0,1.0,43.0,3.4,96.0,,,4.1625740030000005,777.0,9.2,9.8,9.1,34.0,191,2.87288388181037,2.87288388181037
서울특별시 동작구 흑석로 102 (흑석동),중앙대학교병원,1296.0,204.0,807.0,68212.03,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 치과보존과",1.0,상급종합병원,110000.0,서울,110008.0,동작구,126.96078390000001,37.5067481,396.0,1.0,41.0,133.0,221.0,58.0,8.0,5.0,13.0,11.0,8.0,2.0,3.0,15.0,8.0,6.0,6.0,6.0,6.0,7.0,20.0,2.0,6.0,5.0,0.0,5.0,2.0,6.0,7.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,4.0,5.0,1.0,1.0,4.0,2.0,53.0,0.0,0.0,0.0,2.0,36.0,3.7,67.0,2.9,44.0,4.371992263,517.0,9.7,9.8,9.8,31.0,174,3.32276204581986,3.32276204581986
서울특별시 금천구 시흥대로 244 (시흥동),희명병원,120.0,52.0,242.0,7057.48,"내과, 외과, 정형외과, 신경외과, 흉부외과, 마취통증의학과, 산부인과, 영상의학과, 진단검사의학과, 가정의학과, 응급의학과",11.0,종합병원,110000.0,서울,110025.0,금천구,126.90058359999999,37.4556869,29.0,1.0,0.0,0.0,28.0,7.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,1.0,0.0,0.0,2.0,1.0,13.0,0.0,0.0,0.0,1.0,30.0,3.3,21.0,2.727272727,22.0,4.19,200.0,9.5,10.0,10.0,8.0,67,2.8180970148358195,2.8180970148358195
"경기도 안산시 단원구 원포공원1로 20, 동의성단원병원 (초지동)",의료법인 플러스의료재단 단원병원,266.0,55.0,276.0,22327.69,"내과, 신경과, 외과, 정형외과, 신경외과, 흉부외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 피부과, 비뇨의학과, 영상의학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 직업환경의학과",11.0,종합병원,310000.0,경기,311101.0,안산단원구,126.8129822,37.300201,45.0,0.0,0.0,0.0,40.0,12.0,2.0,0.0,4.0,3.0,3.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,1.0,0.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,20.0,3.2,16.0,,,4.29,140.0,10.0,9.0,9.1,11.0,33,3.0035511363636402,3.0035511363636402
